ID PERSONA,Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
67,BUENO,10,PROPIA,18,34,CASADO,NO,FREELANCER,75,181,4000,0,600,1000
68,BUENO,4,PROPIA,60,37,CASADO,NO,FIJO,60,185,3000,0,1200,1564
69,BUENO,9,PROPIA,60,53,CASADO,NO,FIJO,45,170,2500,0,850,1205
70,BUENO,22,RENTADA,60,46,CASADO,NO,FIJO,93,176,7500,0,2000,2200
71,BUENO,18,PADRES,36,36,CASADO,NO,FREELANCER,60,238,0,0,900,2214
72,BUENO,1,PRIVADA,60,46,CASADO,NO,FIJO,60,115,5500,800,1000,1137
73,BUENO,14,PROPIA,48,43,CASADO,NO,FIJO,45,200,9000,0,600,1025
74,BUENO,8,PROPIA,36,31,CASADO,SÍ,FREELANCER,75,411,9000,4000,800,1593
75,BUENO,5,PROPIA,24,43,CASADO,NO,FIJO,75,93,3000,0,700,1735
76,BUENO,19,RENTADA,60,38,CASADO,NO,FIJO,86,108,0,0,1000,1132
77,BUENO,14,PROPIA,12,37,CASADO,NO,FREELANCER,90,500,4000,0,500,1338
78,BUENO,0,OTRO,36,46,CASADO,SÍ,OTRO,45,45,0,0,900,1100
79,BUENO,9,RENTADA,36,55,CASADO,NO,FIJO,70,250,30000,0,1750,2276
80,BUENO,29,PROPIA,48,56,CASADO,NO,FIJO,45,100,3000,0,900,1360
81,BUENO,10,PROPIA,36,55,CASADO,NO,FIJO,60,70,4000,0,1000,1436
82,BUENO,10,PADRES,36,52,CASADO,NO,FIJO,60,150,0,0,550,612
83,MALO,1,PROPIA,36,29,CASADO,NO,FIJO,60,70,4500,0,850,1100
84,BUENO,11,PROPIA,60,39,DIVORCIADO,SÍ,FIJO,35,263,2500,0,1000,1300
85,BUENO,10,PROPIA,60,38,CASADO,NO,FREELANCER,75,200,9000,0,1000,2089
86,BUENO,5,PROPIA,24,24,SOLTERO,NO,FIJO,35,78,6000,3000,500,2262
87,BUENO,10,RENTADA,60,28,SOLTERO,NO,FIJO,47,120,0,0,600,1054
88,BUENO,27,PROPIA,60,53,CASADO,NO,FIJO,60,125,10000,0,1426,1426
89,MALO,0,RENTADA,60,25,SOLTERO,NO,MEDIO TIEMPO,40,50,0,0,1040,1048
90,MALO,25,RENTADA,60,62,CASADO,NO,FIJO,60,146,0,0,1000,1292
91,BUENO,3,PADRES,60,29,SOLTERO,NO,FIJO,35,70,0,0,950,1177
92,MALO,9,PADRES,60,32,SOLTERO,SÍ,FIJO,35,105,0,0,1490,1490
93,BUENO,4,RENTADA,36,21,CASADO,NO,FREELANCER,101,413,6000,0,750,850
94,BUENO,6,RENTADA,36,38,CASADO,NO,FREELANCER,95,500,25000,21400,800,1011
95,BUENO,9,RENTADA,48,56,CASADO,NO,FREELANCER,140,350,0,0,1400,1571
96,BUENO,3,PROPIA,36,41,CASADO,NO,FREELANCER,75,200,3000,0,1000,1000
97,MALO,22,OTRO,36,46,CASADO,NO,FIJO,45,138,0,0,250,270
98,BUENO,3,PROPIA,60,54,VIUDO,NO,OTRO,35,80,4000,0,950,1382
99,BUENO,30,PROPIA,36,51,CASADO,NO,FREELANCER,120,208,15000,0,1500,1713
100,BUENO,8,RENTADA,60,52,CASADO,NO,FIJO,89,137,4000,0,800,1086
101,BUENO,38,PROPIA,48,57,CASADO,NO,FREELANCER,45,58,12000,0,1500,3262
102,BUENO,2,RENTADA,60,33,CASADO,NO,FIJO,73,130,0,0,1100,1610
103,BUENO,4,PROPIA,60,33,CASADO,NO,FIJO,75,123,6000,1000,600,1030
104,MALO,0,RENTADA,36,29,CASADO,NO,MEDIO TIEMPO,78,180,0,0,650,650
105,MALO,2,OTRO,48,23,SOLTERO,NO,FIJO,35,140,0,0,1950,2175
106,BUENO,8,PROPIA,24,33,CASADO,NO,FIJO,75,315,4500,0,400,1780
107,MALO,1,RENTADA,36,24,CASADO,NO,MEDIO TIEMPO,76,164,0,0,900,950
108,MALO,6,PADRES,60,28,CASADO,NO,FREELANCER,90,325,7000,0,1200,1211
109,BUENO,5,PROPIA,60,27,CASADO,NO,FIJO,45,135,5000,1400,1600,1650
110,MALO,13,PADRES,36,33,SOLTERO,NO,FIJO,35,109,0,0,350,350
111,BUENO,11,RENTADA,60,32,CASADO,NO,FIJO,79,185,0,0,950,1117
112,BUENO,10,PROPIA,24,39,CASADO,NO,FIJO,45,217,9000,3000,1500,2468
113,MALO,20,PROPIA,60,51,CASADO,NO,FREELANCER,90,300,12500,2500,1340,1740
114,MALO,0,PROPIA,36,39,SOLTERO,NO,FREELANCER,35,0,4000,0,1000,1210
115,BUENO,13,PROPIA,48,29,CASADO,NO,FIJO,60,253,3000,0,670,963
116,MALO,2,PROPIA,36,32,CASADO,NO,FIJO,75,101,1500,400,1200,1646
117,MALO,3,PROPIA,36,40,CASADO,SÍ,FREELANCER,35,200,10000,0,800,800
118,BUENO,12,PROPIA,36,47,CASADO,NO,FIJO,75,124,3500,0,460,470
119,BUENO,20,PROPIA,24,66,CASADO,NO,FIJO,45,143,10000,0,950,1370
120,BUENO,3,PRIVADA,48,39,SEPARADO,NO,FREELANCER,35,250,4000,1500,700,839
121,BUENO,27,PROPIA,60,50,CASADO,NO,FIJO,75,135,5500,1000,600,1346
122,BUENO,4,RENTADA,60,25,CASADO,NO,FIJO,57,115,0,0,900,1350
123,MALO,1,PROPIA,60,27,CASADO,NO,MEDIO TIEMPO,75,160,4000,3000,1800,2100
124,BUENO,18,RENTADA,60,54,CASADO,NO,FIJO,66,214,0,0,1300,1307
125,BUENO,12,RENTADA,60,42,CASADO,NO,FIJO,114,390,0,0,1100,1126
126,BUENO,12,PROPIA,48,35,SEPARADO,NO,FREELANCER,45,500,200000,0,2380,4786
127,MALO,0,PADRES,60,23,SOLTERO,NO,MEDIO TIEMPO,35,95,0,0,1400,1478
128,BUENO,12,PROPIA,60,52,CASADO,NO,FIJO,75,200,12000,0,1550,1568
129,BUENO,0,PADRES,24,22,SOLTERO,NO,MEDIO TIEMPO,35,85,0,0,650,1056
130,BUENO,10,OTRO,18,48,CASADO,NO,FIJO,90,214,0,0,1000,1608
131,BUENO,2,PROPIA,60,25,CASADO,NO,FIJO,75,140,3000,0,950,1179
132,MALO,10,OTRO,60,26,CASADO,NO,FIJO,45,60,0,0,1400,1524
133,BUENO,8,PROPIA,60,28,CASADO,NO,FIJO,75,180,4000,0,1300,1730
134,BUENO,20,PROPIA,30,62,CASADO,NO,FREELANCER,60,300,24000,9000,600,823
135,BUENO,0,RENTADA,60,33,CASADO,NO,FREELANCER,65,200,0,0,700,800
136,BUENO,16,PADRES,60,41,CASADO,NO,FIJO,75,242,0,0,1300,1482
137,BUENO,4,PROPIA,60,29,CASADO,NO,MEDIO TIEMPO,60,155,5000,2500,900,1110
138,MALO,1,RENTADA,60,37,SOLTERO,NO,FIJO,45,100,0,0,1150,1555
139,BUENO,0,PROPIA,60,31,CASADO,NO,FIJO,60,105,3500,0,1100,1170
140,BUENO,15,PROPIA,12,50,CASADO,NO,FREELANCER,45,166,2000,0,500,886
141,MALO,13,RENTADA,60,42,SEPARADO,SÍ,FIJO,47,120,0,0,800,1395
142,BUENO,19,PROPIA,36,33,CASADO,NO,FIJO,60,115,6700,2000,1000,2084
143,BUENO,15,PROPIA,24,54,CASADO,NO,FREELANCER,90,350,150000,0,3800,8800
144,BUENO,40,PROPIA,36,58,CASADO,NO,FREELANCER,75,0,50000,0,1000,1160
145,BUENO,9,RENTADA,60,40,CASADO,NO,FIJO,119,442,6000,1947,900,1211
146,MALO,12,PADRES,60,31,SEPARADO,SÍ,FIJO,35,101,0,0,1300,1300
147,MALO,0,PROPIA,36,35,CASADO,SÍ,FIJO,105,122,5200,2000,850,850
148,BUENO,14,PROPIA,60,64,CASADO,NO,FREELANCER,60,250,10000,0,700,1204
149,BUENO,10,PADRES,24,29,SOLTERO,NO,FREELANCER,35,90,0,0,600,1528
150,BUENO,2,PROPIA,48,33,CASADO,NO,FIJO,45,160,6000,0,1200,1298
151,BUENO,15,PROPIA,18,35,CASADO,NO,FREELANCER,60,300,4000,0,300,600
152,MALO,1,PADRES,48,28,SOLTERO,NO,FIJO,35,83,0,0,1000,1320
153,BUENO,27,PROPIA,60,59,CASADO,NO,FREELANCER,45,0,11000,0,1100,1300
154,MALO,0,OTRO,60,25,CASADO,NO,MEDIO TIEMPO,60,60,0,0,1300,1380
155,MALO,0,PADRES,60,23,SOLTERO,NO,MEDIO TIEMPO,35,205,0,0,1400,1426
156,BUENO,3,PROPIA,24,30,CASADO,NO,FREELANCER,75,133,12000,900,1500,5200
157,BUENO,8,RENTADA,36,36,CASADO,NO,FIJO,78,179,0,0,900,1503
158,BUENO,3,PROPIA,48,25,SOLTERO,NO,FREELANCER,35,0,4000,0,1200,1449
159,BUENO,5,OTRO,60,22,SOLTERO,NO,FIJO,45,195,0,0,700,1422
160,BUENO,9,PROPIA,24,45,CASADO,NO,FIJO,75,112,4000,0,500,1430
161,BUENO,4,PROPIA,30,47,CASADO,NO,FREELANCER,90,210,15000,0,1550,1578
162,BUENO,14,PRIVADA,48,36,CASADO,NO,FIJO,75,155,3500,200,1100,1250
163,BUENO,3,PROPIA,36,36,SOLTERO,SÍ,FREELANCER,35,394,16000,0,1500,2260
164,BUENO,22,RENTADA,36,60,CASADO,NO,FIJO,60,149,0,0,200,280
165,BUENO,20,RENTADA,48,59,CASADO,NO,FIJO,57,120,0,0,800,1298
166,MALO,6,PROPIA,48,58,CASADO,SÍ,FREELANCER,60,400,86000,0,930,945
167,BUENO,23,PROPIA,12,37,CASADO,NO,FIJO,45,165,5000,0,900,1694
168,MALO,5,PROPIA,36,32,CASADO,NO,FREELANCER,75,125,6000,0,600,700
169,BUENO,8,RENTADA,48,26,SOLTERO,NO,FIJO,42,74,0,0,600,1290
170,BUENO,5,PROPIA,60,40,CASADO,NO,FIJO,75,86,4900,0,1300,1581
171,BUENO,20,PROPIA,48,55,CASADO,NO,FIJO,45,185,5000,0,1000,1383
172,BUENO,11,RENTADA,60,30,CASADO,NO,FIJO,77,165,0,0,1350,1637
173,BUENO,25,PADRES,54,43,CASADO,NO,FIJO,75,110,7000,0,1275,1275
174,MALO,2,RENTADA,60,28,CASADO,NO,FIJO,74,138,0,0,1400,1400
175,BUENO,20,PROPIA,24,47,CASADO,NO,FREELANCER,75,300,5000,0,600,832
176,BUENO,9,PROPIA,36,29,SOLTERO,NO,FIJO,35,147,3500,0,1886,2886
177,MALO,0,RENTADA,60,48,SEPARADO,SÍ,FREELANCER,35,0,25300,15500,1200,1257
178,BUENO,18,PADRES,60,34,CASADO,NO,FIJO,60,112,6550,0,600,1346
179,BUENO,20,PROPIA,60,53,CASADO,SÍ,FREELANCER,75,350,6500,0,800,1138
180,BUENO,6,PROPIA,12,44,CASADO,NO,FIJO,45,110,15000,0,300,1801
181,MALO,0,PROPIA,48,49,CASADO,NO,MEDIO TIEMPO,45,75,2000,0,900,1200
182,BUENO,0,RENTADA,36,51,CASADO,NO,FIJO,113,230,0,0,950,950
183,BUENO,14,NO DIJO ,60,34,CASADO,NO,FIJO,75,85,8000,0,1400,1589
184,BUENO,10,PROPIA,48,42,CASADO,NO,FREELANCER,75,210,4000,120,1200,1617
185,BUENO,19,PROPIA,60,34,CASADO,NO,FIJO,75,125,5000,0,1200,1200
186,BUENO,11,PROPIA,60,46,CASADO,NO,FIJO,75,149,3500,0,1400,2194
187,BUENO,1,PROPIA,48,31,CASADO,NO,FIJO,75,201,2500,96,1100,1642
188,MALO,13,OTRO,60,31,CASADO,NO,FIJO,60,105,0,0,1200,1423
189,BUENO,4,RENTADA,12,33,CASADO,NO,FIJO,78,183,0,0,600,1600
190,MALO,9,RENTADA,24,30,SOLTERO,SÍ,FIJO,46,113,0,0,700,700
191,BUENO,1,PROPIA,24,27,CASADO,NO,FIJO,45,126,3000,3700,200,300
192,BUENO,4,PROPIA,36,48,CASADO,NO,FREELANCER,120,300,5000,0,1000,1165
193,BUENO,2,PROPIA,60,33,CASADO,NO,FIJO,75,160,6000,0,1000,1365
194,BUENO,2,PROPIA,12,44,CASADO,NO,FIJO,90,160,7500,0,500,1706
195,MALO,0,OTRO,36,48,CASADO,SÍ,FREELANCER,45,0,0,0,1600,2053
196,BUENO,21,PROPIA,60,57,CASADO,NO,FREELANCER,60,95,8000,0,1000,1700
197,BUENO,12,PROPIA,60,34,CASADO,SÍ,FIJO,75,125,5500,4000,950,1462
198,BUENO,9,RENTADA,60,38,CASADO,NO,FIJO,87,120,0,0,1177,1300
199,BUENO,2,RENTADA,36,35,CASADO,NO,FIJO,126,359,0,0,870,1122
200,BUENO,24,PROPIA,60,52,CASADO,NO,FIJO,45,80,4000,0,1200,1257
201,BUENO,1,PADRES,60,28,SOLTERO,NO,MEDIO TIEMPO,35,67,0,0,1050,1387
202,BUENO,15,PROPIA,48,46,CASADO,NO,FIJO,90,148,12000,0,1000,1266
203,BUENO,19,PROPIA,60,56,CASADO,SÍ,FIJO,45,298,8000,0,1700,2195
204,BUENO,10,PROPIA,24,52,CASADO,NO,FIJO,75,318,4500,700,700,2004
205,BUENO,19,PROPIA,60,35,CASADO,NO,FIJO,75,185,4000,0,1100,1203
206,BUENO,10,PROPIA,36,45,CASADO,SÍ,FREELANCER,60,0,9500,250,750,1138
207,BUENO,4,PADRES,48,29,CASADO,NO,FIJO,45,194,0,0,1200,1374
208,MALO,1,PADRES,60,22,SOLTERO,NO,FIJO,35,80,3000,0,1500,1514
209,BUENO,2,PROPIA,24,33,CASADO,SÍ,FIJO,75,147,2000,900,400,750
210,BUENO,5,PROPIA,24,41,CASADO,NO,FREELANCER,105,156,10000,0,800,1894
211,BUENO,11,PROPIA,36,37,CASADO,NO,FIJO,75,178,3000,0,1000,1048
212,BUENO,23,PROPIA,24,46,CASADO,NO,FIJO,75,130,4000,0,400,1369
213,MALO,4,OTRO,36,19,SOLTERO,NO,MEDIO TIEMPO,35,63,0,0,1000,1035
214,MALO,5,PADRES,36,22,SOLTERO,NO,FIJO,35,88,0,0,750,1218
215,BUENO,15,PADRES,60,31,CASADO,NO,FIJO,45,140,0,0,1200,1637
216,MALO,1,PRIVADA,60,44,CASADO,NO,MEDIO TIEMPO,45,115,2000,0,750,953
217,BUENO,9,PROPIA,60,48,CASADO,SÍ,FIJO,60,83,2500,0,1100,1212
218,BUENO,4,PRIVADA,36,31,CASADO,NO,FIJO,60,144,3000,0,1000,1218
219,BUENO,20,PROPIA,24,53,CASADO,NO,FREELANCER,45,200,100000,0,1000,1419
220,BUENO,10,OTRO,60,36,CASADO,NO,FIJO,90,172,3000,0,1100,1100
221,BUENO,2,PRIVADA,60,46,CASADO,NO,FREELANCER,105,200,4000,500,900,987
222,BUENO,15,PROPIA,60,37,CASADO,NO,FIJO,60,318,7000,0,1900,2400
223,BUENO,8,PROPIA,60,34,CASADO,NO,FIJO,60,177,6300,4000,1370,1375
224,BUENO,4,PROPIA,48,36,CASADO,NO,FIJO,60,133,4000,0,1000,1595
225,BUENO,4,PROPIA,60,64,SOLTERO,NO,OTRO,35,150,9000,0,984,1054
226,BUENO,1,PROPIA,36,27,SOLTERO,NO,FIJO,35,208,9000,0,1000,1651
227,BUENO,10,PROPIA,30,26,CASADO,NO,FIJO,75,145,1434,0,300,1542
228,BUENO,32,PROPIA,60,53,CASADO,NO,FIJO,60,157,5000,0,2000,2014
229,BUENO,12,PROPIA,60,50,CASADO,NO,FIJO,45,190,9500,200,1800,2624
230,MALO,0,PADRES,60,21,SOLTERO,NO,MEDIO TIEMPO,35,86,0,0,1000,1135
231,BUENO,20,PADRES,24,40,SOLTERO,NO,FIJO,35,90,0,0,600,1105
232,BUENO,6,RENTADA,60,49,CASADO,SÍ,MEDIO TIEMPO,100,100,30000,0,1500,1500
233,MALO,4,RENTADA,24,40,CASADO,SÍ,FIJO,56,214,0,0,800,1200
234,BUENO,1,RENTADA,60,37,SOLTERO,NO,FIJO,45,100,0,0,1150,1555
235,BUENO,2,RENTADA,48,25,CASADO,NO,FIJO,57,117,0,0,800,2251
236,BUENO,25,PROPIA,18,40,CASADO,NO,FIJO,45,110,4000,0,455,1542
237,BUENO,1,RENTADA,36,22,CASADO,NO,FIJO,62,168,0,0,1200,2186
238,BUENO,10,PROPIA,48,49,CASADO,NO,FREELANCER,45,150,9000,0,1700,1700
239,BUENO,2,PROPIA,60,34,CASADO,NO,FIJO,45,166,7000,0,600,1180
240,BUENO,3,NA,24,42,SOLTERO,NO,FIJO,35,337,0,0,1300,1624
241,MALO,13,RENTADA,24,49,CASADO,NO,FREELANCER,90,0,0,0,700,800
242,MALO,10,RENTADA,60,43,CASADO,NO,FREELANCER,90,0,0,0,1350,1668
243,BUENO,20,PROPIA,36,42,CASADO,NO,FREELANCER,90,250,4500,0,1500,1750
244,BUENO,10,PROPIA,48,28,CASADO,SÍ,MEDIO TIEMPO,60,120,2500,1500,600,875
245,BUENO,1,PROPIA,60,30,CASADO,NO,FREELANCER,35,236,3500,1000,1000,1514
246,MALO,1,PROPIA,60,25,SEPARADO,SÍ,MEDIO TIEMPO,45,277,6000,3500,1700,1950
247,MALO,0,PADRES,60,22,SOLTERO,NO,MEDIO TIEMPO,35,55,0,0,950,1462
248,BUENO,5,PADRES,36,27,SOLTERO,NO,FIJO,35,200,4000,0,600,1098
249,BUENO,3,PADRES,60,26,SOLTERO,NO,FIJO,45,235,0,0,800,840
250,MALO,0,PROPIA,48,28,CASADO,NO,FIJO,45,80,1500,0,1260,1634
251,BUENO,6,PROPIA,48,35,CASADO,NO,FREELANCER,45,200,7000,0,1540,1603
252,BUENO,21,PRIVADA,60,51,CASADO,NO,FIJO,45,140,3000,0,1200,1200
253,BUENO,5,RENTADA,60,24,CASADO,NO,FIJO,73,125,0,0,700,1360
254,BUENO,12,RENTADA,60,34,CASADO,NO,FIJO,94,185,0,0,1200,1236
255,BUENO,13,PROPIA,42,34,CASADO,NO,FIJO,105,190,2500,300,1100,1395
256,BUENO,10,PROPIA,60,49,CASADO,NO,FREELANCER,60,150,23000,0,1200,1390
257,BUENO,6,PROPIA,60,28,CASADO,NO,FIJO,60,102,5000,0,700,1355
258,BUENO,18,RENTADA,60,57,CASADO,NO,FIJO,77,170,4000,0,1300,1604
259,BUENO,15,PROPIA,60,63,CASADO,NO,FIJO,60,315,3500,266,1000,1241
260,MALO,0,RENTADA,12,37,CASADO,NO,OTRO,88,130,0,0,250,375
261,BUENO,2,PROPIA,36,27,CASADO,NO,FIJO,45,156,6000,0,700,1045
262,BUENO,18,RENTADA,60,39,CASADO,NO,FIJO,93,177,0,0,800,1781
263,BUENO,12,PROPIA,36,64,SOLTERO,SÍ,FREELANCER,60,341,4500,0,900,900
264,BUENO,25,PROPIA,48,49,CASADO,NO,FREELANCER,105,240,12000,4200,1660,1698
265,BUENO,8,PROPIA,12,49,CASADO,NO,FREELANCER,60,142,6000,0,200,1048
266,BUENO,20,PROPIA,36,45,CASADO,NO,FREELANCER,75,333,5000,0,1000,2200
267,BUENO,3,PADRES,60,27,SOLTERO,NO,FIJO,35,125,5000,0,770,1119
268,BUENO,2,PADRES,36,30,CASADO,NO,FIJO,45,170,0,0,700,1090
269,MALO,2,PROPIA,36,33,CASADO,NO,FREELANCER,75,220,16000,500,3000,4100
270,BUENO,15,PROPIA,36,40,CASADO,NO,FIJO,60,230,8500,480,700,1400
271,BUENO,3,PROPIA,60,30,SEPARADO,NO,FIJO,60,157,15000,0,1000,2010
272,BUENO,4,PADRES,12,30,CASADO,NO,FIJO,60,340,16000,0,1900,2014
273,BUENO,3,PROPIA,60,25,CASADO,NO,MEDIO TIEMPO,60,120,3500,200,1000,1342
274,BUENO,9,RENTADA,60,40,SOLTERO,NO,FIJO,44,91,0,0,1000,1132
275,MALO,4,PRIVADA,42,50,CASADO,NO,FREELANCER,60,150,7000,0,900,1048
276,BUENO,2,PROPIA,36,23,SOLTERO,NO,FIJO,35,88,5500,0,750,1218
277,BUENO,1,OTRO,48,28,SOLTERO,NO,MEDIO TIEMPO,35,120,0,0,900,1114
278,MALO,2,RENTADA,60,35,CASADO,SÍ,FREELANCER,75,0,0,0,1000,1206
279,BUENO,2,RENTADA,60,27,CASADO,NO,FIJO,56,106,0,0,650,2132
280,BUENO,2,PADRES,36,19,CASADO,NO,FIJO,35,162,4000,100,400,570
281,BUENO,3,PADRES,60,39,CASADO,NO,FIJO,45,77,0,0,1000,1094
282,BUENO,8,PRIVADA,36,39,CASADO,NO,FIJO,75,128,2500,0,550,550
283,BUENO,10,PROPIA,48,55,VIUDO,NO,FIJO,35,189,9000,0,1200,1255
284,BUENO,10,PROPIA,36,32,CASADO,NO,FREELANCER,60,300,40000,3000,2000,4138
285,BUENO,5,PROPIA,60,54,CASADO,NO,FREELANCER,60,92,6000,1700,1700,1714
286,BUENO,20,PROPIA,48,58,CASADO,NO,FREELANCER,60,380,35000,0,1100,1150
287,BUENO,5,PROPIA,24,37,CASADO,NO,FREELANCER,75,500,14000,0,1500,2673
288,BUENO,20,PADRES,60,36,CASADO,NO,FREELANCER,60,130,0,0,1200,1630
289,BUENO,12,PROPIA,60,28,CASADO,NO,FIJO,45,141,6000,400,1100,1544
290,BUENO,13,PROPIA,60,38,CASADO,NO,FIJO,75,220,6500,3600,1000,1195
291,BUENO,11,PROPIA,36,26,CASADO,NO,FIJO,60,146,5000,1300,400,1206
